time,BulkRi_hub,L_6p64m,L_24m
2024-06-18 02:30:00,0.15191,44.4,14.942
2024-06-18 02:40:00,0.12603,44.4,14.942
2024-06-18 02:50:00,0.12077,49.603,21.815
2024-06-18 03:00:00,0.14308,58.436,26.181
2024-06-18 03:10:00,0.19521,58.436,26.181
2024-06-18 03:20:00,0.16392,59.605,35.817
2024-06-18 03:30:00,0.16814,59.605,35.817
2024-06-18 03:40:00,0.18193,55.615,34.768
2024-06-18 03:50:00,0.16189,55.615,34.768
2024-06-18 04:00:00,0.15042,60.253,30.789
2024-06-18 04:10:00,0.189,60.253,30.789
2024-06-18 04:20:00,0.1433,56.876,37.106
2024-06-18 04:30:00,0.13074,56.876,37.106
2024-06-18 04:40:00,0.14537,56.876,37.106
2024-06-18 04:50:00,0.15042,64.22,30.515
2024-06-18 05:00:00,0.15239,64.22,30.515
2024-06-18 05:10:00,0.193,64.961,42.388
2024-06-18 05:20:00,0.25158,64.961,42.388
2024-06-18 05:30:00,0.2741,66.493,43.413
2024-06-18 05:40:00,0.21684,66.493,43.413
2024-06-18 05:50:00,0.18308,51.882,40.49
2024-06-18 06:00:00,0.24505,62.022,37.785
2024-06-18 06:10:00,0.17281,62.022,37.785
2024-06-18 06:20:00,0.17419,57.383,34.691
2024-06-18 06:30:00,0.13832,57.383,34.691
2024-06-18 06:40:00,0.12258,56.146,33.924
2024-06-18 06:50:00,0.12556,56.146,33.924
2024-06-18 07:00:00,0.13168,51.241,30.73
2024-06-18 07:10:00,0.10092,51.241,30.73
2024-06-18 07:20:00,0.16521,53.504,34.857
2024-06-18 07:30:00,0.2033,53.504,34.857
2024-06-18 07:40:00,0.16127,53.504,34.857
2024-06-18 07:50:00,0.23326,54.071,29.332
2024-06-18 08:00:00,0.25111,54.071,29.332
2024-06-18 08:10:00,0.2378,55.004,36.314
2024-06-18 08:20:00,0.2982,55.004,36.314
2024-06-18 08:30:00,0.23948,56.223,29.203
2024-06-18 08:40:00,0.46344,56.223,29.203
2024-06-18 08:50:00,0.2078,58.083,30.407
2024-06-18 09:00:00,0.23423,56.076,40.161
2024-06-18 09:10:00,0.17721,56.076,40.161
2024-06-18 09:20:00,0.14713,51.918,32.699
2024-06-18 09:30:00,0.13728,51.918,32.699
2024-06-18 09:40:00,0.175,50.5,32.603
2024-06-18 09:50:00,0.16014,50.5,32.603
2024-06-18 10:00:00,0.13018,60.098,34.387
2024-06-18 10:10:00,0.12145,60.098,34.387
2024-06-18 10:20:00,0.11302,56.746,30.235
2024-06-18 10:30:00,0.12455,56.746,30.235
2024-06-18 10:40:00,0.13363,56.746,30.235
2024-06-18 10:50:00,0.13418,60.648,31.735
2024-06-18 11:00:00,0.15456,60.648,31.735
2024-06-18 11:10:00,0.16148,,
2024-06-18 11:20:00,0.24101,,
2024-06-18 11:30:00,0.19907,75.536,23.876
2024-06-18 11:40:00,0.24011,75.536,23.876
2024-06-18 11:50:00,0.24982,,
2024-06-18 12:00:00,0.21464,93.334,43.469
2024-06-18 12:10:00,0.20309,93.334,43.469
2024-06-18 12:20:00,0.17601,76.658,60.994
2024-06-18 12:30:00,0.20775,76.658,60.994
2024-06-18 12:40:00,0.26293,86.769,46.363
2024-06-18 12:50:00,0.20174,86.769,46.363
2024-06-18 13:00:00,0.28149,83.312,61.246
2024-06-18 13:10:00,0.36668,83.312,61.246
2024-06-18 13:20:00,0.25004,91.35,38.332
2024-06-18 13:30:00,0.18513,91.35,38.332
2024-06-18 13:40:00,0.30846,91.35,38.332
2024-06-18 13:50:00,0.43606,111.27,46.818
2024-06-18 14:00:00,0.33076,111.27,46.818
2024-06-18 14:10:00,0.3982,105.24,46.12
2024-06-18 14:20:00,0.74842,105.24,46.12
2024-06-18 14:30:00,0.69769,103.24,46.53
2024-06-18 14:40:00,0.91341,103.24,46.53
2024-06-18 14:50:00,1.5275,102.37,61.005
2024-06-18 15:00:00,1.8792,107.55,51.036
2024-06-18 15:10:00,2.0576,107.55,51.036
2024-06-18 15:20:00,1.3054,115.8,62.042
2024-06-18 15:30:00,1.7247,115.8,62.042
2024-06-18 15:40:00,3.4081,124.95,78.617
2024-06-18 15:50:00,3.3759,124.95,78.617
2024-06-18 16:00:00,2.3633,133.35,70.143
2024-06-18 16:10:00,2.198,133.35,70.143
2024-06-18 16:20:00,2.6005,113.2,68.731
2024-06-18 16:30:00,2.0328,113.2,68.731
2024-06-18 16:40:00,8.7153,113.2,68.731
2024-06-18 16:50:00,1.054,101.5,60.669
2024-06-18 17:00:00,0.24293,101.5,60.669
2024-06-18 17:10:00,0.14961,91.058,57.339
2024-06-18 17:20:00,0.35225,91.058,57.339
2024-06-18 17:30:00,6.9741,85.345,52.144
2024-06-18 17:40:00,2.5376,85.345,52.144
2024-06-18 17:50:00,14.543,85.952,43.003
2024-06-18 18:00:00,0.9202,98.889,53.964
2024-06-18 18:10:00,0.62012,98.889,53.964
2024-06-18 18:20:00,0.51336,75.611,46.912
2024-06-18 18:30:00,29.567,75.611,46.912
2024-06-18 18:40:00,12.36,71.965,64.403
2024-06-18 18:50:00,9.0093,71.965,64.403
2024-06-18 19:00:00,1.3911,61.965,47.4
2024-06-18 19:10:00,66.532,61.965,47.4
2024-06-18 19:20:00,12.64,70.733,39.158
2024-06-18 19:30:00,20.934,70.733,39.158
2024-06-18 19:40:00,2.1152,70.733,39.158
2024-06-18 19:50:00,1.3421,76.506,25.854
2024-06-18 20:00:00,1.2119,76.506,25.854
2024-06-18 20:10:00,1.1245,56.952,28.707
2024-06-18 20:20:00,0.6182,56.952,28.707
2024-06-18 20:30:00,1.8491,61.721,28.263
2024-06-18 20:40:00,0.77065,61.721,28.263
2024-06-18 20:50:00,1.4668,45.706,51.152
2024-06-18 21:00:00,89.503,55.268,26.552
2024-06-18 21:10:00,4.3543,55.268,26.552
2024-06-18 21:20:00,6.4397,49.452,21.934
2024-06-18 21:30:00,1.2321,49.452,21.934
2024-06-18 21:40:00,0.7192,54.986,20.323
2024-06-18 21:50:00,1.198,54.986,20.323
2024-06-18 22:00:00,1.3769,56.249,31.876
2024-06-18 22:10:00,1.7904,56.249,31.876
2024-06-18 22:20:00,1.2146,60.618,28.311
2024-06-18 22:30:00,1.2359,60.618,28.311
2024-06-18 22:40:00,1.499,60.618,28.311
2024-06-18 22:50:00,1.1117,62.671,41.067
2024-06-18 23:00:00,2.86,62.671,41.067
2024-06-18 23:10:00,4.5382,64.456,44.47
2024-06-18 23:20:00,5.3285,64.456,44.47
2024-06-18 23:30:00,8.136,59.912,24.694
2024-06-18 23:40:00,10.155,59.912,24.694
2024-06-18 23:50:00,4.4149,64.085,32.197
2024-06-19 00:00:00,4.223,49.187,35.931
2024-06-19 00:10:00,7.6155,49.187,35.931
2024-06-19 00:20:00,126.94,51.177,32.423
2024-06-19 00:30:00,24.619,51.177,32.423
2024-06-19 00:40:00,28.818,60.045,38.512
2024-06-19 00:50:00,3.4693,60.045,38.512
2024-06-19 01:00:00,10.231,50.449,28.873
2024-06-19 01:10:00,3.6855,50.449,28.873
2024-06-19 01:20:00,55.001,41.165,24.309
2024-06-19 01:30:00,34.702,41.165,24.309
2024-06-19 01:40:00,1.965,41.165,24.309
2024-06-19 01:50:00,6.3309,35.187,24.664
2024-06-19 02:00:00,17.965,35.187,24.664
2024-06-19 02:10:00,33.514,36.405,20.358
2024-06-19 02:20:00,28.727,36.405,20.358
2024-06-19 02:30:00,30.342,42.433,25.399
2024-06-19 02:40:00,190.33,42.433,25.399
2024-06-19 02:50:00,34.656,55.444,25.809
2024-06-19 03:00:00,22.633,46.97,33.537
2024-06-19 03:10:00,5.3248,46.97,33.537
2024-06-19 03:20:00,1.8895,40.028,26.581
2024-06-19 03:30:00,3.3351,40.028,26.581
2024-06-19 03:40:00,5.2416,43.187,19.024
2024-06-19 03:50:00,3.5868,43.187,19.024
2024-06-19 04:00:00,5.5054,39.698,22.897
2024-06-19 04:10:00,4.8605,39.698,22.897
2024-06-19 04:20:00,6.9113,28.178,8.4959
2024-06-19 04:30:00,3.8137,28.178,8.4959
2024-06-19 04:40:00,5.3361,28.178,8.4959
2024-06-19 04:50:00,5.7585,22.241,17.801
2024-06-19 05:00:00,1.2578,22.241,17.801
2024-06-19 05:10:00,0.95545,28.721,10.232
2024-06-19 05:20:00,0.48023,28.721,10.232
2024-06-19 05:30:00,3.7906,26.177,10.39
2024-06-19 05:40:00,1.2021,26.177,10.39
2024-06-19 10:30:00,25.978,36.967,12.465
2024-06-19 10:40:00,45.302,36.967,12.465
2024-06-19 10:50:00,13.636,37.785,10.284
2024-06-19 11:00:00,32.274,37.785,10.284
2024-06-19 11:10:00,7.9538,44.658,19.887
2024-06-19 11:20:00,9.0787,44.658,19.887
2024-06-19 11:30:00,4.7937,43.802,27.398
2024-06-19 11:40:00,1.6295,43.802,27.398
2024-06-19 11:50:00,2.4349,47.056,34.17
2024-06-19 12:00:00,1.5797,43.225,27.446
2024-06-19 12:10:00,1.295,43.225,27.446
2024-06-19 12:20:00,1.467,45.573,17.885
2024-06-19 12:30:00,2.181,45.573,17.885
2024-06-19 12:40:00,2.0622,37.765,14.646
2024-06-19 12:50:00,1.1027,37.765,14.646
2024-06-19 13:00:00,0.93805,43.565,16.005
2024-06-19 13:10:00,1.0573,43.565,16.005
2024-06-19 13:20:00,0.83809,49.691,15.092
2024-06-19 13:30:00,1.0329,49.691,15.092
2024-06-19 13:40:00,1.338,49.691,15.092
2024-06-19 13:50:00,1.1408,52.789,17.005
2024-06-19 14:00:00,1.0004,52.789,17.005
2024-06-19 14:10:00,1.6226,38.874,12.999
2024-06-19 14:20:00,4.2384,38.874,12.999
2024-06-19 14:30:00,2.0129,47.751,19.373
2024-06-19 14:40:00,3.5119,47.751,19.373
2024-06-19 14:50:00,2.5302,42.453,8.5733
2024-06-19 15:00:00,10.255,48.224,14.829
2024-06-19 15:10:00,15.747,48.224,14.829
2024-06-19 15:20:00,9.6202,51.901,21.394
2024-06-19 15:30:00,9.8127,51.901,21.394
2024-06-19 15:40:00,7.0986,54.672,21.915
2024-06-19 15:50:00,6.8926,54.672,21.915
2024-06-19 16:00:00,4.711,48.664,32.172
2024-06-19 16:10:00,9.3459,48.664,32.172
2024-06-19 16:20:00,8.9439,71.362,41.684
2024-06-19 16:30:00,6.2269,71.362,41.684
2024-06-19 16:40:00,8.5934,71.362,41.684
2024-06-19 16:50:00,6.1704,61.726,32.962
2024-06-19 17:00:00,4.5096,61.726,32.962
2024-06-19 17:10:00,5.4949,56.688,19.61
2024-06-19 17:20:00,4.3885,56.688,19.61
2024-06-19 17:30:00,3.3819,60.567,24.959
2024-06-19 17:40:00,3.8347,60.567,24.959
2024-06-19 17:50:00,3.5179,60.856,36.725
2024-06-19 18:00:00,5.864,68.054,30.614
2024-06-19 18:10:00,3.7939,68.054,30.614
2024-06-19 18:20:00,6.6606,68.102,31.403
2024-06-19 18:30:00,3.6399,68.102,31.403
2024-06-19 18:40:00,4.4916,54.053,28.217
2024-06-19 18:50:00,5.0961,54.053,28.217
2024-06-19 19:00:00,4.8336,56.934,35.557
2024-06-19 19:10:00,11.648,56.934,35.557
2024-06-19 19:20:00,11.361,55.322,32.649
2024-06-19 19:30:00,10.124,55.322,32.649
2024-06-19 19:40:00,16.926,55.322,32.649
2024-06-19 19:50:00,20.442,55.167,22.076
2024-06-19 20:00:00,10.255,55.167,22.076
2024-06-19 20:10:00,7.9094,48.504,56.369
2024-06-19 20:20:00,14.789,48.504,56.369
2024-06-19 20:30:00,9.991,55.317,32.592
2024-06-19 20:40:00,311.88,55.317,32.592
2024-06-19 20:50:00,27.223,47.006,28.61
2024-06-19 21:00:00,96.352,45.601,42.912
2024-06-19 21:10:00,0.37966,45.601,42.912
2024-06-19 21:20:00,0.54848,52.062,47.206
2024-06-19 21:30:00,0.33698,52.062,47.206
2024-06-19 21:40:00,0.30908,42.152,39.344
2024-06-19 21:50:00,0.27384,42.152,39.344
2024-06-19 22:00:00,0.31399,39.675,23.922
2024-06-19 22:10:00,0.27584,39.675,23.922
2024-06-19 22:20:00,0.40609,51.993,24.81
2024-06-19 22:30:00,0.69844,51.993,24.81
2024-06-19 22:40:00,0.94341,51.993,24.81
2024-06-19 22:50:00,1.2926,62.961,156.05
2024-06-19 23:00:00,2.0367,62.961,156.05
2024-06-19 23:10:00,2.6867,61.06,30.989
2024-06-19 23:20:00,5.3793,61.06,30.989
2024-06-19 23:30:00,14.392,43.957,28.286
2024-06-19 23:40:00,7.3004,43.957,28.286
2024-06-19 23:50:00,19.367,48.67,26.641
2024-06-20 00:00:00,74.534,40.128,23.954
2024-06-20 00:10:00,17.03,40.128,23.954
2024-06-20 00:20:00,4.8352,62.997,22.859
2024-06-20 00:30:00,3.0057,62.997,22.859
2024-06-20 00:40:00,12.412,60.58,27.495
2024-06-20 00:50:00,10.199,60.58,27.495
2024-06-20 01:00:00,8.0071,56.693,21.167
2024-06-20 01:10:00,16.577,56.693,21.167
2024-06-20 01:20:00,7.4766,69.159,24.893
2024-06-20 01:30:00,9.4325,69.159,24.893
2024-06-20 01:40:00,2.2607,69.159,24.893
2024-06-20 01:50:00,4.2452,72.889,32.9
2024-06-20 02:00:00,9.8264,72.889,32.9
2024-06-20 02:10:00,14.072,62.915,26.429
2024-06-20 02:20:00,14.004,62.915,26.429
2024-06-20 02:30:00,20.871,76.446,27.727
2024-06-20 02:40:00,11.554,76.446,27.727
2024-06-20 02:50:00,123.06,81.43,31.946
2024-06-20 03:00:00,5.3744,63.951,29.759
2024-06-20 03:10:00,4.5022,63.951,29.759
2024-06-20 03:20:00,2.3938,71.741,27.72
2024-06-20 03:30:00,0.69697,71.741,27.72
2024-06-20 03:40:00,0.15907,65.119,35.847
2024-06-20 03:50:00,0.20285,65.119,35.847
