time,BulkRi_hub
2024-06-17 05:00:00,-1.5739319286598936
2024-06-17 05:10:00,-1.8382654059254273
2024-06-17 05:20:00,-5.212468266114274
2024-06-17 05:30:00,-1.7977659829744848
2024-06-17 05:40:00,-0.697997180089678
2024-06-17 05:50:00,0.5805238170815203
2024-06-17 06:00:00,0.5630443448209574
2024-06-17 06:10:00,0.9022975935814994
2024-06-17 06:20:00,0.7830590371767338
2024-06-17 06:30:00,1.7235148386348809
2024-06-17 06:40:00,-0.9626529919711957
2024-06-17 06:50:00,0.8171859967729835
2024-06-17 07:00:00,0.09040894112155687
2024-06-17 07:10:00,0.17067390676484118
2024-06-17 07:20:00,0.11170129945410442
2024-06-17 07:30:00,-0.06477844283991233
2024-06-17 07:40:00,0.10073086842513036
2024-06-17 07:50:00,0.2169656898603493
2024-06-17 08:00:00,0.28334668108684374
2024-06-17 08:10:00,0.5951087610520291
2024-06-17 08:20:00,0.3253767182346199
2024-06-17 08:30:00,-0.024430775791454883
2024-06-17 08:40:00,0.339075484433906
2024-06-17 08:50:00,0.5647882780220201
2024-06-17 09:00:00,0.30524956017227683
2024-06-17 09:10:00,0.0804096818021084
2024-06-17 09:20:00,0.04310474111722367
2024-06-17 09:30:00,0.16618176849320632
2024-06-17 09:40:00,0.16486930095051003
2024-06-17 09:50:00,0.0828922770505256
2024-06-17 10:00:00,0.07505268017220063
2024-06-17 10:10:00,0.4125262010313759
2024-06-17 10:20:00,0.11749264094194253
2024-06-17 10:30:00,0.28232352858707405
2024-06-17 10:40:00,0.05692420936198135
2024-06-17 10:50:00,0.13339740801358285
2024-06-17 11:00:00,0.08910496750806335
2024-06-17 11:10:00,0.16566120461717246
2024-06-17 11:20:00,0.17617788580100244
2024-06-17 11:30:00,0.12315353850100193
2024-06-17 11:40:00,0.18159293059930337
2024-06-17 11:50:00,0.18706310417828093
2024-06-17 12:00:00,0.16054084701755683
2024-06-17 12:10:00,0.1915068846172183
2024-06-17 12:20:00,0.2982191357015296
2024-06-17 12:30:00,0.3932209979153217
2024-06-17 12:40:00,0.31295796528215125
2024-06-17 12:50:00,0.2597024794793987
2024-06-17 13:00:00,0.24283846275368512
2024-06-17 13:10:00,0.7910123602218592
2024-06-17 13:20:00,0.39000308897681046
2024-06-17 13:30:00,0.24904535848942122
2024-06-17 13:40:00,0.20548748617044518
2024-06-17 13:50:00,0.1345258313928269
2024-06-17 14:00:00,0.2304557078546365
2024-06-17 14:10:00,0.19249835091913772
2024-06-17 14:20:00,0.2392654846470234
2024-06-17 14:30:00,0.24938201758736867
2024-06-17 14:40:00,0.21597539712808037
2024-06-17 14:50:00,0.23671997158768157
2024-06-17 15:00:00,0.279050133433714
2024-06-17 15:10:00,0.4503156054278884
2024-06-17 15:20:00,0.7729850518636563
2024-06-17 15:30:00,0.6686349342274374
2024-06-17 15:40:00,0.8254428365359124
2024-06-17 15:50:00,0.30677054815951715
2024-06-17 16:00:00,0.27631664715201243
2024-06-17 16:10:00,0.3444582550980877
2024-06-17 16:20:00,0.28432524523195984
2024-06-17 16:30:00,0.19232952769764436
2024-06-17 16:40:00,0.21690587981835657
2024-06-17 16:50:00,0.21255823831455675
2024-06-17 17:00:00,0.2771574043580753
2024-06-17 17:10:00,0.2936512025765785
2024-06-17 17:20:00,0.1499358725577129
2024-06-17 17:30:00,0.1310271222099302
2024-06-17 17:40:00,0.17804642598066955
2024-06-17 17:50:00,0.18462150128241145
2024-06-17 18:00:00,0.23026743584248555
2024-06-17 18:10:00,0.17106650319509706
2024-06-17 18:20:00,0.1593789559743531
2024-06-17 18:30:00,0.18031374768649938
2024-06-17 18:40:00,0.28996973340457416
2024-06-17 18:50:00,0.19060753492750573
2024-06-17 19:00:00,0.22570475728477085
2024-06-17 19:10:00,0.389540982467004
2024-06-17 19:20:00,0.333585435458962
2024-06-17 19:30:00,0.4555996153504143
2024-06-17 19:40:00,1.753577598602698
2024-06-17 19:50:00,11.55601544596105
2024-06-17 20:00:00,7.755503326054511
2024-06-17 20:10:00,3.6016031599772487
2024-06-17 20:20:00,2.3894689130769162
2024-06-17 20:30:00,6.012862216780171
2024-06-17 20:40:00,3.2151212027161606
2024-06-17 20:50:00,11.061470322346484
2024-06-17 21:00:00,4.442291285114607
2024-06-17 21:20:00,4.992976958194353
2024-06-17 21:30:00,3.7054645314019177
2024-06-17 21:40:00,1.4813441353920351
2024-06-17 21:50:00,1.7502529005636998
2024-06-17 22:00:00,1.3770293794167958
2024-06-17 22:10:00,1.3139747083266509
2024-06-17 22:20:00,0.8451943558741756
2024-06-17 22:30:00,1.0566087405869746
2024-06-17 22:40:00,1.337374441674521
2024-06-17 22:50:00,1.3485756588737432
2024-06-17 23:00:00,1.1612367445337888
2024-06-17 23:10:00,0.365066431588632
2024-06-17 23:20:00,0.22820482429853364
2024-06-17 23:30:00,0.16887004440913733
2024-06-17 23:40:00,0.23573992512562503
2024-06-17 23:50:00,0.18754372895590385
2024-06-18 00:00:00,0.1705753849514384
2024-06-18 00:10:00,0.12827616181585938
2024-06-18 00:20:00,0.12517574528299208
2024-06-18 00:30:00,0.13004333310413083
2024-06-18 00:40:00,0.15068198344868822
2024-06-18 00:50:00,0.22549464149768578
2024-06-18 01:00:00,0.2789704256704632
2024-06-18 01:10:00,0.5721977401081845
2024-06-18 01:20:00,0.19950433644485083
2024-06-18 01:30:00,0.16166703130635465
2024-06-18 01:40:00,0.17813118081282847
2024-06-18 01:50:00,0.1792105759095977
2024-06-18 02:00:00,0.1673289220712117
2024-06-18 02:10:00,0.15519871504764904
2024-06-18 02:20:00,0.16858227342927184
2024-06-18 02:30:00,0.15191037236428875
2024-06-18 02:40:00,0.12603377937932073
2024-06-18 02:50:00,0.1207700299574413
2024-06-18 03:00:00,0.14307724679160014
2024-06-18 03:10:00,0.1952055985368175
2024-06-18 03:20:00,0.16391884002828278
2024-06-18 03:30:00,0.1681367060766718
2024-06-18 03:40:00,0.18193393694166535
2024-06-18 03:50:00,0.16188746233923154
2024-06-18 04:00:00,0.15042406619418588
2024-06-18 04:10:00,0.18900394921573088
2024-06-18 04:20:00,0.14330130919768094
2024-06-18 04:30:00,0.1307437547256701
2024-06-18 04:40:00,0.14537060369190688
2024-06-18 04:50:00,0.15042482235489604
2024-06-18 05:00:00,0.15238739325982273
2024-06-18 05:10:00,0.19299604115793295
2024-06-18 05:20:00,0.2515757584303646
2024-06-18 05:30:00,0.2741016535343815
2024-06-18 05:40:00,0.21683796329829902
2024-06-18 05:50:00,0.18308079317105233
2024-06-18 06:00:00,0.2450513696011756
2024-06-18 06:10:00,0.17281295173870895
2024-06-18 06:20:00,0.17418885641150683
2024-06-18 06:30:00,0.13831659003905616
2024-06-18 06:40:00,0.12257627649118272
2024-06-18 06:50:00,0.12556295881000412
2024-06-18 07:00:00,0.13167630850918238
2024-06-18 07:10:00,0.1009230152491157
2024-06-18 07:20:00,0.16520783578135884
2024-06-18 07:30:00,0.20330308374969133
2024-06-18 07:40:00,0.16127303385437539
2024-06-18 07:50:00,0.23325819056792205
2024-06-18 08:00:00,0.2511097375980744
2024-06-18 08:10:00,0.2378025803269313
2024-06-18 08:20:00,0.29819910587611437
2024-06-18 08:30:00,0.23948148577705966
2024-06-18 08:40:00,0.4634423009451582
2024-06-18 08:50:00,0.2077984283421378
2024-06-18 09:00:00,0.23422837340949276
2024-06-18 09:10:00,0.17721156650029032
2024-06-18 09:20:00,0.1471328701959939
2024-06-18 09:30:00,0.13728248237850754
2024-06-18 09:40:00,0.17499931694671816
2024-06-18 09:50:00,0.16014229145748093
2024-06-18 10:00:00,0.13018005747812053
2024-06-18 10:10:00,0.1214511480282025
2024-06-18 10:20:00,0.11302358997326692
2024-06-18 10:30:00,0.12454773834358217
2024-06-18 10:40:00,0.13362570877111943
2024-06-18 10:50:00,0.1341791372950587
2024-06-18 11:00:00,0.154555547622204
2024-06-18 11:10:00,0.1614809212309676
2024-06-18 11:20:00,0.24101086354843418
2024-06-18 11:30:00,0.19906693244573678
2024-06-18 11:40:00,0.24011436399386016
